horizon,trial_number,value,state,timestamp_utc,elapsed_hms,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_max_delta_step,param_max_bin
1,0,67.56618292836018,TrialState.COMPLETE,2026-05-05T10:00:56Z,00:00:02,1012,8,0.05691138931740135,0.9499903525726503,0.7902280530449016,1.4535531056999595,0.37664484415071425,0.0020823319022382383,6.768442931861574,6.895330308611235,256
1,1,67.56367883514895,TrialState.COMPLETE,2026-05-05T10:00:56Z,00:00:03,751,5,0.060540133859566414,0.9357697921600168,0.5510804761556922,27.471754973564128,3.489107511850111e-05,0.08033942579712126,7.802790114537841,1.7855591148994279,256
1,2,67.58977655212308,TrialState.COMPLETE,2026-05-05T10:00:57Z,00:00:03,392,8,0.004743099825695762,0.7816954801494482,0.597120872038878,8.05101507754615,0.002772929340486342,0.0002465981161695505,3.8942450478409683,3.397420328039221,256
1,3,67.57864834567822,TrialState.COMPLETE,2026-05-05T10:00:57Z,00:00:04,417,5,0.05692329661689749,0.9265779562330179,0.5967863325035342,7.021557165580511,5.022173455388476e-07,42.196262366139315,5.495371077151874,6.138474833436333,256
1,4,67.49352486957895,TrialState.COMPLETE,2026-05-05T10:00:58Z,00:00:04,660,3,0.06824471637995135,0.7091485331873031,0.8714262890127209,1.1557915961642486,1.3198796115965961e-08,0.03601122973589348,3.272693440119318,4.0536692268302765,128
1,5,67.55367096585209,TrialState.COMPLETE,2026-05-05T10:00:58Z,00:00:05,919,3,0.015650278361720487,0.9760175788056719,0.5738406276584653,29.456714759600395,6.777498590218519,0.1699631322727662,6.809080230222373,2.9225683046811497,512
1,6,67.55069827706748,TrialState.COMPLETE,2026-05-05T10:00:59Z,00:00:05,527,2,0.006958613023775261,0.7276093605186511,0.6738015298075749,1.3020722845193702,4.229275009765803e-08,0.004043969939995098,2.366788165055108,0.7361421581056025,512
1,7,67.54894225347434,TrialState.COMPLETE,2026-05-05T10:00:59Z,00:00:06,481,2,0.0936077004692878,0.9898701567916188,0.8834746276060963,21.80559268651716,0.5503416262925367,0.03784990558963786,5.047150580236788,6.540114720671466,128
1,8,67.56246093511218,TrialState.COMPLETE,2026-05-05T10:01:00Z,00:00:06,585,6,0.039562208346770454,0.9721202388613034,0.7121706426018277,22.894425587598356,0.00042013694997014686,1.3515518324666669,2.5582875543086976,0.1901011825313681,128
1,9,67.64703686535137,TrialState.COMPLETE,2026-05-05T10:01:00Z,00:00:07,1059,6,0.07976536518233657,0.670088436663107,0.9437123796244864,12.629869955084096,5.748441413250167e-07,0.0800777637670808,4.957744405300363,7.570278133892187,128
1,10,67.8412650924024,TrialState.COMPLETE,2026-05-05T10:01:01Z,00:00:08,760,4,0.022941323478406384,0.6006204411467757,0.8492439161029611,2.8012595361976182,1.0743685125635519e-08,2.9474649249067033,0.011010779838862117,5.279989521391409,128
1,11,67.59691009114492,TrialState.COMPLETE,2026-05-05T10:01:02Z,00:00:08,625,2,0.1157935252650742,0.8264385876988839,0.9179211010875985,3.2401934044880294,0.028007522783560217,0.006967763309431291,3.011890968208614,4.8873554874485405,128
1,12,67.27640158309458,TrialState.COMPLETE,2026-05-05T10:01:02Z,00:00:08,282,3,0.0242565974824751,0.8506655763875979,0.9909667376540974,3.7553991828389806,2.9309191068410724e-05,0.013133821482603088,1.0836291797861652,4.303713402939017,128
1,13,64.73648471654087,TrialState.COMPLETE,2026-05-05T10:01:02Z,00:00:09,276,4,0.018840278791742854,0.8562957322300003,0.9925961009353943,2.6332732583058487,5.5582771270722396e-06,0.0002432609566700036,0.7785258654073464,4.347316565399924,128
1,14,62.153522371643994,TrialState.COMPLETE,2026-05-05T10:01:02Z,00:00:09,252,4,0.014594658584364803,0.874449760737963,0.9807475273671005,3.304019628822079,1.0779538067582378e-05,0.00017937930906497258,0.4541550181535135,2.4096781712945514,128
1,15,67.57464899196532,TrialState.COMPLETE,2026-05-05T10:01:03Z,00:00:09,254,4,0.012025694832304557,0.8727040197716573,0.997143220996534,2.215424520219096,6.703682713671728e-06,0.0003580709918303075,1.1727083221798464,2.3672894124720445,128
1,16,61.96005846141785,TrialState.COMPLETE,2026-05-05T10:01:04Z,00:00:10,1191,4,0.010717472809887007,0.8890610720129963,0.8099942555155374,4.727151282887924,4.066284711221418e-06,0.0007867172721462738,0.058551177261140175,1.233846880274482,512
1,17,67.5401009835299,TrialState.COMPLETE,2026-05-05T10:01:04Z,00:00:11,1194,6,0.008095350589140581,0.8946118056232603,0.7843649415308114,4.843637804576889,4.314607007588675e-07,0.001179018746896725,1.8785631750158998,1.489002268349454,512
1,18,59.815100551481414,TrialState.COMPLETE,2026-05-05T10:01:05Z,00:00:12,909,7,0.013410689424901952,0.7898272432135873,0.7286393563258523,11.945160826043784,0.0004797973995266045,0.00013734640240521472,0.11598713287569351,1.2934332783728937,512
1,19,67.54941498775165,TrialState.COMPLETE,2026-05-05T10:01:06Z,00:00:12,855,7,0.009675844419365089,0.7943930060198381,0.7227170728323744,12.694920220824823,0.0021760999417941396,0.0007823839069765646,1.6529507424082488,0.6237999163262883,512
1,20,79.7807144579466,TrialState.COMPLETE,2026-05-05T10:01:07Z,00:00:14,1153,7,0.03143920089099779,0.731219103413059,0.8289766768770428,11.932943115634805,0.0003401044585653326,0.0001161813654571174,0.005558379245414399,1.3395961356367918,512
1,21,63.93168320404321,TrialState.COMPLETE,2026-05-05T10:01:08Z,00:00:14,882,4,0.012146872200833096,0.9042401009388179,0.6648458837905689,4.890611616299713,4.1432731514766024e-05,0.00011932871317365854,0.6900034303636289,2.368469978246975,512
1,22,60.015290894536086,TrialState.COMPLETE,2026-05-05T10:01:08Z,00:00:15,1052,5,0.005409656502546204,0.8081638829088063,0.7324276264128051,7.013725458787443,1.6476807674489594e-06,0.0007174024030941906,0.2455130357637704,3.1378908522527023,512
1,23,67.54212476083202,TrialState.COMPLETE,2026-05-05T10:01:09Z,00:00:16,1080,5,0.004985724698338464,0.7772698339295868,0.7392838644364058,8.833173826044629,1.5422582204597683e-06,0.000739061524113904,1.3735569247162438,3.1237633550375388,512
