component_key,component_family,status,runtime_seconds,horizons
ridge_lag_expert,lag_feature_ml,completed,0.064,"[1, 5, 10, 20, 30]"
elasticnet_lag_expert,lag_feature_ml,completed,0.197,"[1, 5, 10, 20, 30]"
random_forest_lag_expert,lag_feature_ml,completed,3.111,"[1, 5, 10, 20, 30]"
extratrees_lag_expert,lag_feature_ml,completed,1.011,"[1, 5, 10, 20, 30]"
gradient_boosting_lag_expert,lag_feature_ml,completed,6.715,"[1, 5, 10, 20, 30]"
xgboost_lag_expert,lag_feature_ml,completed,0.637,"[1, 5, 10, 20, 30]"
