sample,horizon,forecast_price
0,1,4563.9208984375
0,5,4514.76171875
0,10,4545.8427734375
0,20,4548.74267578125
0,30,4423.29345703125
1,1,4551.57470703125
1,5,4512.51025390625
1,10,4536.3544921875
1,20,4468.31494140625
1,30,4341.21240234375
2,1,4560.95458984375
2,5,4479.146484375
2,10,4674.890625
2,20,4532.79736328125
2,30,4334.6650390625
3,1,4588.46484375
3,5,4526.00048828125
3,10,4524.78125
3,20,4532.39404296875
3,30,4402.67431640625
4,1,4553.95849609375
4,5,4569.080078125
4,10,4537.8671875
4,20,4520.4912109375
4,30,4501.16015625
5,1,4596.79052734375
5,5,4550.46337890625
5,10,4536.3251953125
5,20,4506.94970703125
5,30,4403.166015625
6,1,4553.9326171875
6,5,4571.8671875
6,10,4509.50048828125
6,20,4429.580078125
6,30,4435.10205078125
7,1,4611.044921875
7,5,4517.009765625
7,10,4371.04150390625
7,20,4478.05517578125
7,30,4296.5283203125
8,1,4640.97607421875
8,5,4627.65283203125
8,10,4575.52880859375
8,20,4510.9384765625
8,30,4513.8583984375
9,1,4569.18212890625
9,5,4534.5732421875
9,10,4549.0810546875
9,20,4530.4794921875
9,30,4448.40771484375
10,1,4570.53271484375
10,5,4542.49462890625
10,10,4556.94189453125
10,20,4507.37744140625
10,30,4368.78857421875
11,1,4559.29736328125
11,5,4474.75
11,10,4515.4130859375
11,20,4463.62646484375
11,30,4276.27685546875
12,1,4559.09619140625
12,5,4514.02880859375
12,10,4601.833984375
12,20,4426.1171875
12,30,4316.4111328125
13,1,4554.38525390625
13,5,4528.12109375
13,10,4714.36474609375
13,20,4511.27490234375
13,30,4217.626953125
14,1,4569.4296875
14,5,4545.80322265625
14,10,4600.32666015625
14,20,4550.6826171875
14,30,4389.33740234375
15,1,4572.78857421875
15,5,4552.3125
15,10,4778.0419921875
15,20,4524.0947265625
15,30,4397.6953125
16,1,4606.373046875
16,5,4565.50927734375
16,10,4341.048828125
16,20,4518.40283203125
16,30,4291.56298828125
17,1,4605.94873046875
17,5,4617.59326171875
17,10,4621.58056640625
17,20,4540.4501953125
17,30,4409.041015625
18,1,4561.529296875
18,5,4485.74365234375
18,10,4643.330078125
18,20,4514.625
18,30,4270.42529296875
19,1,4560.59521484375
19,5,4546.90771484375
19,10,4512.16796875
19,20,4525.458984375
19,30,4395.8291015625
20,1,4566.013671875
20,5,4482.71337890625
20,10,4536.53955078125
20,20,4510.541015625
20,30,4295.56689453125
21,1,4569.564453125
21,5,4533.6796875
21,10,4437.33154296875
21,20,4454.85986328125
21,30,4237.16650390625
22,1,4582.08203125
22,5,4585.01123046875
22,10,4432.72265625
22,20,4522.22607421875
22,30,4347.873046875
23,1,4555.41259765625
23,5,4496.9833984375
23,10,4455.333984375
23,20,4486.7109375
23,30,4216.57080078125
24,1,4563.27880859375
24,5,4524.39404296875
24,10,4482.6025390625
24,20,4535.68505859375
24,30,4421.84228515625
