trial_number,value,state,timestamp_utc,elapsed_hms,param_architecture,param_sequence_length,param_hidden_size,param_num_layers,param_dropout,param_bidirectional,param_dense_size,param_learning_rate,param_weight_decay,param_batch_size,param_loss,user_best_epoch,user_epochs_ran,user_sequence_length,user_architecture
25,105.1967599978395,TrialState.COMPLETE,2026-05-05T10:27:36Z,00:07:15,gru_attention,120,256,3,0.08474734956275717,True,128,0.002587687502326987,1.0445869799462835e-08,64,huber,18,30,120,gru_attention
26,112.46771691147126,TrialState.COMPLETE,2026-05-05T10:27:40Z,00:07:19,lstm,20,256,2,0.12489651826660272,False,128,0.00011180120097904436,3.31780667473025e-08,64,huber,2,14,20,lstm
27,102.86063269772657,TrialState.COMPLETE,2026-05-05T10:27:47Z,00:07:26,gru,20,192,3,0.16197316004297102,True,128,0.0002514596547049565,2.8193280335460287e-07,64,huber,1,13,20,gru
28,106.78994087684596,TrialState.COMPLETE,2026-05-05T10:27:55Z,00:07:34,lstm_attention,20,64,2,0.07336904807515429,True,64,0.0017432232324474809,5.5826256016756755e-08,32,huber,7,19,20,lstm_attention
29,119.61782768969991,TrialState.COMPLETE,2026-05-05T10:27:58Z,00:07:38,gru_attention,120,64,2,0.11270355982812591,False,256,0.0007801582917189775,1.8286010475667967e-08,64,huber,5,17,120,gru_attention
30,93.30485090059612,TrialState.COMPLETE,2026-05-05T10:28:05Z,00:07:44,gru_attention,20,256,3,0.1526071607254712,True,128,0.003553564623672066,1.8644121323461563e-07,128,huber,9,21,20,gru_attention
31,93.79630261829294,TrialState.COMPLETE,2026-05-05T10:28:12Z,00:07:51,gru_attention,20,256,3,0.15962255057358743,True,128,0.003358939145120658,1.4214226664293953e-07,128,huber,12,24,20,gru_attention
32,94.08861789644602,TrialState.COMPLETE,2026-05-05T10:28:24Z,00:08:03,gru_attention,20,256,3,0.15419843515082451,True,128,0.003735294729039278,1.4682167200595868e-07,128,huber,28,40,20,gru_attention
33,91.66157202230231,TrialState.COMPLETE,2026-05-05T10:28:35Z,00:08:15,gru_attention,20,256,3,0.15150642766347186,True,128,0.003532801747321698,3.427922620143494e-07,128,huber,26,38,20,gru_attention
34,99.2102321212111,TrialState.COMPLETE,2026-05-05T10:28:41Z,00:08:21,gru_attention,20,256,3,0.16831694886077075,True,128,0.0032896857427020254,3.647964841241851e-07,128,huber,9,21,20,gru_attention
35,101.00109961352416,TrialState.COMPLETE,2026-05-05T10:28:53Z,00:08:33,gru,120,256,2,0.14332359975096715,True,128,0.003331485642830606,1.2148306495958104e-07,128,mse,2,14,120,gru
36,118.3012002106889,TrialState.COMPLETE,2026-05-05T10:28:56Z,00:08:35,gru_attention,60,64,3,0.17887245855553538,True,64,7.23783276633862e-05,2.04963015600731e-06,128,huber,4,16,60,gru_attention
37,96.02844638933084,TrialState.COMPLETE,2026-05-05T10:28:57Z,00:08:37,lstm,20,128,3,0.20840471310659994,False,128,0.00297346965111559,1.5363023423697182e-07,128,mse,2,14,20,lstm
38,112.90597150356889,TrialState.COMPLETE,2026-05-05T10:29:02Z,00:08:42,lstm_attention,20,256,3,0.26436881552256974,True,128,0.0022636932543418174,6.842563585886125e-07,128,huber,3,15,20,lstm_attention
39,117.19032020332448,TrialState.COMPLETE,2026-05-05T10:29:06Z,00:08:46,gru_attention,60,128,3,0.14554877517213743,True,256,0.001724568289428719,3.6864486840846304e-06,128,mse,4,16,60,gru_attention
40,127.61404469730712,TrialState.COMPLETE,2026-05-05T10:29:13Z,00:08:52,gru,120,192,1,0.2438550690514355,False,64,0.0037460001308432535,4.538203892217595e-05,128,huber,6,18,120,gru
41,114.84734955299291,TrialState.COMPLETE,2026-05-05T10:29:14Z,00:08:54,lstm,20,128,3,0.21043858923961944,False,128,0.0027832526389069048,1.6195272594893747e-07,128,mse,2,14,20,lstm
42,106.7435030483222,TrialState.COMPLETE,2026-05-05T10:29:16Z,00:08:56,lstm,20,128,3,0.1916276577812604,False,128,0.003638658231146853,2.5870838589721757e-07,128,mse,3,15,20,lstm
43,113.5007764673305,TrialState.COMPLETE,2026-05-05T10:29:20Z,00:08:59,lstm,20,128,3,0.162331942902571,False,128,0.0021520404543479677,4.304449247610033e-07,128,mse,22,34,20,lstm
44,107.40957942494431,TrialState.COMPLETE,2026-05-05T10:29:21Z,00:09:01,lstm,20,128,3,0.20557957962256151,False,128,0.0040901243784574395,1.2426053770430868e-07,128,mse,2,14,20,lstm
45,110.08099264240829,TrialState.COMPLETE,2026-05-05T10:29:24Z,00:09:04,lstm,20,128,3,0.22855194030186637,False,128,0.0027267978429538846,1.4041872893140178e-06,128,mse,12,24,20,lstm
46,120.63847046791193,TrialState.COMPLETE,2026-05-05T10:29:33Z,00:09:13,gru_attention,60,256,3,0.17756376172921784,False,128,0.001789581177997632,2.0914017082488715e-07,128,mse,11,23,60,gru_attention
47,120.96330681685,TrialState.COMPLETE,2026-05-05T10:29:37Z,00:09:17,gru_attention,20,256,3,0.12901761225510705,True,128,0.0009024586008241957,9.868883396676622e-08,128,mse,1,13,20,gru_attention
48,113.17474620863791,TrialState.COMPLETE,2026-05-05T10:29:44Z,00:09:23,lstm_attention,20,128,3,0.2976179716916093,True,64,0.004453557913692467,6.17365590275662e-07,32,huber,2,14,20,lstm_attention
49,95.0319583397638,TrialState.COMPLETE,2026-05-05T10:29:46Z,00:09:26,gru_attention,20,256,1,0.15142735542871372,True,128,0.002780621269348823,8.652405560754804e-06,128,huber,5,17,20,gru_attention
50,154.63009885657922,TrialState.COMPLETE,2026-05-05T10:29:58Z,00:09:37,gru_attention,60,256,1,0.15334310135950852,True,256,3.673191382592895e-05,1.4260563866571472e-05,128,huber,30,42,60,gru_attention
51,98.42666067468383,TrialState.COMPLETE,2026-05-05T10:30:01Z,00:09:41,gru_attention,20,256,1,0.1936226970411273,True,128,0.0030489794560151873,7.12067331220193e-05,128,huber,13,25,20,gru_attention
52,107.45793352269693,TrialState.COMPLETE,2026-05-05T10:30:05Z,00:09:45,gru_attention,20,256,1,0.13513573396374143,True,128,0.004862377714855552,1.4401212504373273e-05,128,huber,14,26,20,gru_attention
53,105.3624729604154,TrialState.COMPLETE,2026-05-05T10:30:09Z,00:09:48,gru_attention,20,256,2,0.21542744845894193,True,128,0.0020954518204374783,8.140561547127752e-06,128,huber,3,15,20,gru_attention
54,94.32655006465886,TrialState.COMPLETE,2026-05-05T10:30:13Z,00:09:53,gru_attention,20,256,2,0.11454825175308057,True,128,0.002711100722684143,3.4168758910218096e-06,128,huber,8,20,20,gru_attention
55,94.01253955159538,TrialState.COMPLETE,2026-05-05T10:30:18Z,00:09:57,gru_attention,20,256,2,0.11277968761392612,True,128,0.0037040824898792813,4.251823910716334e-06,128,huber,8,20,20,gru_attention
56,117.67097702774572,TrialState.COMPLETE,2026-05-05T10:30:27Z,00:10:07,gru_attention,20,256,2,0.12028022089554247,True,128,0.0038726317973447814,2.62784820172553e-06,32,huber,1,13,20,gru_attention
57,120.90351491828679,TrialState.COMPLETE,2026-05-05T10:30:37Z,00:10:17,gru_attention,20,256,2,0.10867626083143815,True,128,2.0584094307425362e-05,4.675758961483712e-06,128,huber,32,44,20,gru_attention
58,123.33946182842439,TrialState.COMPLETE,2026-05-05T10:30:42Z,00:10:22,gru_attention,20,256,2,0.13701304442138873,True,128,0.0005970777552538962,1.1332286748037555e-06,128,huber,11,23,20,gru_attention
59,96.30357420586617,TrialState.COMPLETE,2026-05-05T10:31:10Z,00:10:49,gru_attention,120,256,2,0.16603904887397788,True,128,0.004912969273834486,9.576396588278305e-07,128,huber,20,32,120,gru_attention
60,106.61122115017649,TrialState.COMPLETE,2026-05-05T10:31:15Z,00:10:54,gru_attention,20,192,2,0.09966983014639237,True,128,0.0013725092862647797,5.833368139382219e-06,128,huber,6,18,20,gru_attention
61,108.85552311108526,TrialState.COMPLETE,2026-05-05T10:31:18Z,00:10:58,gru_attention,20,256,1,0.1509614969725384,True,128,0.0023274976029468886,2.2300020285342575e-05,128,huber,11,23,20,gru_attention
62,112.68485809149448,TrialState.COMPLETE,2026-05-05T10:31:23Z,00:11:02,gru_attention,20,256,2,0.11492194487822957,True,128,0.0010584502370558288,2.5062535614004607e-06,128,huber,8,20,20,gru_attention
63,97.9732338605169,TrialState.COMPLETE,2026-05-05T10:31:26Z,00:11:05,gru_attention,20,256,2,0.14433946611657247,True,128,0.0018755866708174435,8.635690795547375e-06,128,huber,2,14,20,gru_attention
64,113.26928847357397,TrialState.COMPLETE,2026-05-05T10:31:29Z,00:11:09,gru_attention,20,256,1,0.1571812958735919,True,128,0.002586972527279402,3.700562577469784e-06,128,huber,9,21,20,gru_attention
65,97.00972301238295,TrialState.COMPLETE,2026-05-05T10:31:39Z,00:11:19,gru_attention,20,256,2,0.1766053622810162,True,128,0.0037606670092620283,0.00025258021521731996,128,huber,34,46,20,gru_attention
66,100.23496210679484,TrialState.COMPLETE,2026-05-05T10:31:57Z,00:11:37,gru_attention,20,256,1,0.1291812251915426,True,256,0.0016022446143776666,7.537759199117992e-08,32,huber,24,36,20,gru_attention
67,107.66921741320728,TrialState.COMPLETE,2026-05-05T10:32:16Z,00:11:55,gru,20,256,3,0.08424437228205632,True,128,0.003110281284483767,3.5523237731241363e-07,128,huber,54,66,20,gru
68,112.23452250820883,TrialState.COMPLETE,2026-05-05T10:32:18Z,00:11:58,gru_attention,20,64,3,0.36831014679110363,True,64,0.004202112780098898,6.165079953773255e-06,128,huber,4,16,20,gru_attention
69,107.06236832486775,TrialState.COMPLETE,2026-05-05T10:32:23Z,00:12:03,gru_attention,20,256,2,0.10713230722268667,True,128,0.0024792425452797463,1.4186690541492375e-05,128,huber,11,23,20,gru_attention
