date,split,actual,yhat,yhat_lower,yhat_upper,forecast_stage
1968-07-15,train,39.3,,,,actual_training_history
1968-07-16,train,39.3,,,,actual_training_history
1968-07-17,train,39.3,,,,actual_training_history
1968-07-18,train,39.3,,,,actual_training_history
1968-07-19,train,39.3,,,,actual_training_history
1968-07-22,train,39.3,,,,actual_training_history
1968-07-23,train,39.3,,,,actual_training_history
1968-07-24,train,39.3,,,,actual_training_history
1968-07-25,train,39.3,,,,actual_training_history
1968-07-26,train,39.3,,,,actual_training_history
1968-07-29,train,39.3,,,,actual_training_history
1968-07-30,train,39.3,,,,actual_training_history
1968-07-31,train,39.3,,,,actual_training_history
1968-08-01,train,39.3,,,,actual_training_history
1968-08-02,train,39.3,,,,actual_training_history
1968-08-05,train,39.75,,,,actual_training_history
1968-08-06,train,39.75,,,,actual_training_history
1968-08-07,train,40.85,,,,actual_training_history
1968-08-08,train,38.45,,,,actual_training_history
1968-08-09,train,38.45,,,,actual_training_history
1968-08-12,train,39.4,,,,actual_training_history
1968-08-13,train,39.4,,,,actual_training_history
1968-08-14,train,39.4,,,,actual_training_history
1968-08-15,train,39.4,,,,actual_training_history
1968-08-16,train,39.4,,,,actual_training_history
1968-08-19,train,39.4,,,,actual_training_history
1968-08-20,train,39.4,,,,actual_training_history
1968-08-21,train,39.4,,,,actual_training_history
1968-08-22,train,39.4,,,,actual_training_history
1968-08-23,train,39.4,,,,actual_training_history
1968-08-26,train,39.4,,,,actual_training_history
1968-08-27,train,39.4,,,,actual_training_history
1968-08-28,train,39.4,,,,actual_training_history
1968-08-29,train,39.4,,,,actual_training_history
1968-08-30,train,39.4,,,,actual_training_history
1968-09-02,train,39.4,,,,actual_training_history
1968-09-03,train,39.4,,,,actual_training_history
1968-09-04,train,37.5,,,,actual_training_history
1968-09-05,train,39.7,,,,actual_training_history
1968-09-06,train,39.7,,,,actual_training_history
1968-09-09,train,40.05,,,,actual_training_history
1968-09-10,train,38.9,,,,actual_training_history
1968-09-11,train,38.9,,,,actual_training_history
1968-09-12,train,40.6,,,,actual_training_history
1968-09-13,train,40.6,,,,actual_training_history
1968-09-16,train,40.6,,,,actual_training_history
1968-09-17,train,40.6,,,,actual_training_history
1968-09-18,train,40.6,,,,actual_training_history
1968-09-19,train,40.6,,,,actual_training_history
1968-09-20,train,40.6,,,,actual_training_history
1968-09-23,train,40.6,,,,actual_training_history
1968-09-24,train,40.6,,,,actual_training_history
1968-09-25,train,40.6,,,,actual_training_history
1968-09-26,train,40.6,,,,actual_training_history
1968-09-27,train,40.6,,,,actual_training_history
1968-09-30,train,40.6,,,,actual_training_history
1968-10-01,train,40.6,,,,actual_training_history
1968-10-02,train,40.6,,,,actual_training_history
1968-10-03,train,40.6,,,,actual_training_history
1968-10-04,train,37.7,,,,actual_training_history
1968-10-07,train,40.1,,,,actual_training_history
1968-10-08,train,40.1,,,,actual_training_history
1968-10-09,train,40.02,,,,actual_training_history
1968-10-10,train,39.05,,,,actual_training_history
1968-10-11,train,39.05,,,,actual_training_history
1968-10-14,train,40.62,,,,actual_training_history
1968-10-15,train,40.62,,,,actual_training_history
1968-10-16,train,40.62,,,,actual_training_history
1968-10-17,train,40.62,,,,actual_training_history
1968-10-18,train,40.62,,,,actual_training_history
1968-10-21,train,40.62,,,,actual_training_history
1968-10-22,train,40.62,,,,actual_training_history
1968-10-23,train,40.62,,,,actual_training_history
1968-10-24,train,40.62,,,,actual_training_history
1968-10-25,train,40.62,,,,actual_training_history
1968-10-28,train,40.62,,,,actual_training_history
1968-10-29,train,40.62,,,,actual_training_history
1968-10-30,train,40.62,,,,actual_training_history
1968-10-31,train,40.62,,,,actual_training_history
1968-11-01,train,40.62,,,,actual_training_history
1968-11-04,train,38.0,,,,actual_training_history
1968-11-05,train,38.0,,,,actual_training_history
1968-11-06,train,41.55,,,,actual_training_history
1968-11-07,train,39.1,,,,actual_training_history
1968-11-08,train,39.1,,,,actual_training_history
1968-11-11,train,39.55,,,,actual_training_history
1968-11-12,train,40.95,,,,actual_training_history
1968-11-13,train,40.95,,,,actual_training_history
1968-11-14,train,40.95,,,,actual_training_history
1968-11-15,train,40.95,,,,actual_training_history
1968-11-18,train,40.95,,,,actual_training_history
1968-11-19,train,40.95,,,,actual_training_history
1968-11-20,train,40.95,,,,actual_training_history
1968-11-21,train,40.95,,,,actual_training_history
1968-11-22,train,40.95,,,,actual_training_history
1968-11-25,train,40.95,,,,actual_training_history
1968-11-26,train,40.95,,,,actual_training_history
1968-11-27,train,40.95,,,,actual_training_history
1968-11-28,train,40.95,,,,actual_training_history
1968-11-29,train,40.95,,,,actual_training_history
1968-12-02,train,40.95,,,,actual_training_history
1968-12-03,train,40.95,,,,actual_training_history
1968-12-04,train,40.95,,,,actual_training_history
1968-12-05,train,40.95,,,,actual_training_history
1968-12-06,train,41.9,,,,actual_training_history
1968-12-09,train,40.1,,,,actual_training_history
1968-12-10,train,40.1,,,,actual_training_history
1968-12-11,train,39.67,,,,actual_training_history
1968-12-12,train,40.98,,,,actual_training_history
1968-12-13,train,40.98,,,,actual_training_history
1968-12-16,train,40.98,,,,actual_training_history
1968-12-17,train,40.98,,,,actual_training_history
1968-12-18,train,40.98,,,,actual_training_history
1968-12-19,train,40.98,,,,actual_training_history
1968-12-20,train,40.98,,,,actual_training_history
1968-12-23,train,40.98,,,,actual_training_history
1968-12-24,train,40.98,,,,actual_training_history
1968-12-25,train,40.98,,,,actual_training_history
1968-12-26,train,40.98,,,,actual_training_history
1968-12-27,train,40.98,,,,actual_training_history
1968-12-30,train,40.98,,,,actual_training_history
1968-12-31,train,40.98,,,,actual_training_history
1969-01-01,train,40.98,,,,actual_training_history
1969-01-02,train,40.98,,,,actual_training_history
1969-01-03,train,40.98,,,,actual_training_history
1969-01-06,train,43.6,,,,actual_training_history
1969-01-07,train,41.15,,,,actual_training_history
1969-01-08,train,41.43,,,,actual_training_history
1969-01-09,train,41.43,,,,actual_training_history
1969-01-10,train,40.75,,,,actual_training_history
1969-01-13,train,35.55,,,,actual_training_history
1969-01-14,train,35.55,,,,actual_training_history
1969-01-15,train,35.55,,,,actual_training_history
1969-01-16,train,35.55,,,,actual_training_history
1969-01-17,train,35.55,,,,actual_training_history
1969-01-20,train,35.55,,,,actual_training_history
1969-01-21,train,35.55,,,,actual_training_history
1969-01-22,train,35.55,,,,actual_training_history
1969-01-23,train,35.55,,,,actual_training_history
1969-01-24,train,35.55,,,,actual_training_history
1969-01-27,train,35.55,,,,actual_training_history
1969-01-28,train,35.55,,,,actual_training_history
1969-01-29,train,35.55,,,,actual_training_history
1969-01-30,train,35.55,,,,actual_training_history
1969-01-31,train,35.55,,,,actual_training_history
1969-02-03,train,41.8,,,,actual_training_history
1969-02-04,train,43.25,,,,actual_training_history
