model_stage,epoch,train_quantile_loss,validation_quantile_loss,best_validation_quantile_loss_so_far
final_forecast_model,26,0.009394042951290506,0.009394042951290506,0.009379310712936413
final_forecast_model,27,0.009149073931691518,0.009149073931691518,0.009149073931691518
final_forecast_model,28,0.008942094923232693,0.008942094923232693,0.008942094923232693
final_forecast_model,29,0.008948222582553884,0.008948222582553884,0.008942094923232693
final_forecast_model,30,0.008982770290809223,0.008982770290809223,0.008942094923232693
final_forecast_model,31,0.008621896561010775,0.008621896561010775,0.008621896561010775
final_forecast_model,32,0.008565388255225247,0.008565388255225247,0.008565388255225247
final_forecast_model,33,0.008318211159567875,0.008318211159567875,0.008318211159567875
final_forecast_model,34,0.00825880490333201,0.00825880490333201,0.00825880490333201
final_forecast_model,35,0.008145566659429705,0.008145566659429705,0.008145566659429705
final_forecast_model,36,0.008192595122494253,0.008192595122494253,0.008145566659429705
final_forecast_model,37,0.007995716711304274,0.007995716711304274,0.007995716711304274
final_forecast_model,38,0.007987636388335601,0.007987636388335601,0.007987636388335601
final_forecast_model,39,0.007714111941406526,0.007714111941406526,0.007714111941406526
final_forecast_model,40,0.007738385237304561,0.007738385237304561,0.007714111941406526
final_forecast_model,41,0.007846266384719008,0.007846266384719008,0.007714111941406526
final_forecast_model,42,0.00731382419703057,0.00731382419703057,0.00731382419703057
final_forecast_model,43,0.007276839531778571,0.007276839531778571,0.007276839531778571
final_forecast_model,44,0.007417814087975456,0.007417814087975456,0.007276839531778571
final_forecast_model,45,0.007131915169218218,0.007131915169218218,0.007131915169218218
final_forecast_model,46,0.007026532025312085,0.007026532025312085,0.007026532025312085
final_forecast_model,47,0.007011859010097133,0.007011859010097133,0.007011859010097133
final_forecast_model,48,0.006977285875613431,0.006977285875613431,0.006977285875613431
final_forecast_model,49,0.006742136300462915,0.006742136300462915,0.006742136300462915
final_forecast_model,50,0.006628964028983231,0.006628964028983231,0.006628964028983231
final_forecast_model,51,0.006892335713358529,0.006892335713358529,0.006628964028983231
final_forecast_model,52,0.006694660022720156,0.006694660022720156,0.006628964028983231
final_forecast_model,53,0.006512592535421073,0.006512592535421073,0.006512592535421073
final_forecast_model,54,0.006505935497761491,0.006505935497761491,0.006505935497761491
final_forecast_model,55,0.00642021872798901,0.00642021872798901,0.00642021872798901
final_forecast_model,56,0.0064371906400445,0.0064371906400445,0.00642021872798901
final_forecast_model,57,0.006283796785107578,0.006283796785107578,0.006283796785107578
final_forecast_model,58,0.006087522398321384,0.006087522398321384,0.006087522398321384
final_forecast_model,59,0.006061872826462768,0.006061872826462768,0.006061872826462768
final_forecast_model,60,0.005991218286196151,0.005991218286196151,0.005991218286196151
