model_stage,epoch,train_quantile_loss,validation_quantile_loss,best_validation_quantile_loss_so_far
final_evaluation_model,1,0.059543741269494,0.023177800152231667,0.023177800152231667
final_evaluation_model,2,0.026835867502498178,0.025818313252838218,0.023177800152231667
final_evaluation_model,3,0.027408352191999275,0.019593491054633084,0.019593491054633084
final_evaluation_model,4,0.02408611166449088,0.020886738839394906,0.019593491054633084
final_evaluation_model,5,0.025197519973482727,0.027821003952447104,0.019593491054633084
final_evaluation_model,6,0.0239654772053912,0.02099631803438944,0.019593491054633084
final_evaluation_model,7,0.019297882914543152,0.01820581658359836,0.01820581658359836
final_evaluation_model,8,0.0183264438308916,0.017778701203710893,0.017778701203710893
final_evaluation_model,9,0.016846942978928674,0.01750921710010837,0.01750921710010837
final_evaluation_model,10,0.016761122394423438,0.02100071530131733,0.01750921710010837
final_evaluation_model,11,0.016489186763482273,0.018124372260097193,0.01750921710010837
final_evaluation_model,12,0.01596011049202028,0.01985516448450439,0.01750921710010837
final_evaluation_model,13,0.014243367374083906,0.017468040918602663,0.017468040918602663
final_evaluation_model,14,0.01483080841882049,0.018133272362105986,0.017468040918602663
final_evaluation_model,15,0.01434916872882618,0.018292300019632366,0.017468040918602663
final_evaluation_model,16,0.013059495421091341,0.02076382063986624,0.017468040918602663
final_evaluation_model,17,0.013089782294799696,0.018012088997399107,0.017468040918602663
final_evaluation_model,18,0.012754329199076823,0.019330944208537832,0.017468040918602663
final_evaluation_model,19,0.012197353226958581,0.017250352210420018,0.017250352210420018
final_evaluation_model,20,0.0121456074510824,0.01679575103609001,0.01679575103609001
final_evaluation_model,21,0.011973269020189654,0.01875589053858729,0.01679575103609001
final_evaluation_model,22,0.011328819313279863,0.024082296747056878,0.01679575103609001
final_evaluation_model,23,0.011742410777171827,0.01679935656926211,0.01679575103609001
final_evaluation_model,24,0.01141247285073096,0.01807384702431805,0.01679575103609001
final_evaluation_model,25,0.011121378086929052,0.016725400298395577,0.016725400298395577
