date,dataset_id,split,gold_price
1968-08-26,long_univariate,train,39.4
1968-08-27,long_univariate,train,39.4
1968-08-28,long_univariate,train,39.4
1968-08-29,long_univariate,train,39.4
1968-08-30,long_univariate,train,39.4
1968-09-02,long_univariate,train,39.4
1968-09-03,long_univariate,train,39.4
1968-09-04,long_univariate,train,37.5
1968-09-05,long_univariate,train,39.7
1968-09-06,long_univariate,train,39.7
1968-09-09,long_univariate,train,40.05
1968-09-10,long_univariate,train,38.9
1968-09-11,long_univariate,train,38.9
1968-09-12,long_univariate,train,40.6
1968-09-13,long_univariate,train,40.6
1968-09-16,long_univariate,train,40.6
1968-09-17,long_univariate,train,40.6
1968-09-18,long_univariate,train,40.6
1968-09-19,long_univariate,train,40.6
1968-09-20,long_univariate,train,40.6
1968-09-23,long_univariate,train,40.6
1968-09-24,long_univariate,train,40.6
1968-09-25,long_univariate,train,40.6
1968-09-26,long_univariate,train,40.6
1968-09-27,long_univariate,train,40.6
1968-09-30,long_univariate,train,40.6
1968-10-01,long_univariate,train,40.6
1968-10-02,long_univariate,train,40.6
1968-10-03,long_univariate,train,40.6
1968-10-04,long_univariate,train,37.7
1968-10-07,long_univariate,train,40.1
1968-10-08,long_univariate,train,40.1
1968-10-09,long_univariate,train,40.02
1968-10-10,long_univariate,train,39.05
1968-10-11,long_univariate,train,39.05
1968-10-14,long_univariate,train,40.62
1968-10-15,long_univariate,train,40.62
1968-10-16,long_univariate,train,40.62
1968-10-17,long_univariate,train,40.62
1968-10-18,long_univariate,train,40.62
1968-10-21,long_univariate,train,40.62
1968-10-22,long_univariate,train,40.62
1968-10-23,long_univariate,train,40.62
1968-10-24,long_univariate,train,40.62
1968-10-25,long_univariate,train,40.62
1968-10-28,long_univariate,train,40.62
1968-10-29,long_univariate,train,40.62
1968-10-30,long_univariate,train,40.62
1968-10-31,long_univariate,train,40.62
1968-11-01,long_univariate,train,40.62
1968-11-04,long_univariate,train,38.0
1968-11-05,long_univariate,train,38.0
1968-11-06,long_univariate,train,41.55
1968-11-07,long_univariate,train,39.1
1968-11-08,long_univariate,train,39.1
1968-11-11,long_univariate,train,39.55
1968-11-12,long_univariate,train,40.95
1968-11-13,long_univariate,train,40.95
1968-11-14,long_univariate,train,40.95
1968-11-15,long_univariate,train,40.95
1968-11-18,long_univariate,train,40.95
1968-11-19,long_univariate,train,40.95
1968-11-20,long_univariate,train,40.95
1968-11-21,long_univariate,train,40.95
1968-11-22,long_univariate,train,40.95
1968-11-25,long_univariate,train,40.95
1968-11-26,long_univariate,train,40.95
1968-11-27,long_univariate,train,40.95
1968-11-28,long_univariate,train,40.95
1968-11-29,long_univariate,train,40.95
1968-12-02,long_univariate,train,40.95
1968-12-03,long_univariate,train,40.95
1968-12-04,long_univariate,train,40.95
1968-12-05,long_univariate,train,40.95
1968-12-06,long_univariate,train,41.9
1968-12-09,long_univariate,train,40.1
1968-12-10,long_univariate,train,40.1
1968-12-11,long_univariate,train,39.67
1968-12-12,long_univariate,train,40.98
1968-12-13,long_univariate,train,40.98
1968-12-16,long_univariate,train,40.98
1968-12-17,long_univariate,train,40.98
1968-12-18,long_univariate,train,40.98
1968-12-19,long_univariate,train,40.98
1968-12-20,long_univariate,train,40.98
1968-12-23,long_univariate,train,40.98
1968-12-24,long_univariate,train,40.98
1968-12-25,long_univariate,train,40.98
1968-12-26,long_univariate,train,40.98
1968-12-27,long_univariate,train,40.98
1968-12-30,long_univariate,train,40.98
1968-12-31,long_univariate,train,40.98
1969-01-01,long_univariate,train,40.98
1969-01-02,long_univariate,train,40.98
1969-01-03,long_univariate,train,40.98
1969-01-06,long_univariate,train,43.6
1969-01-07,long_univariate,train,41.15
1969-01-08,long_univariate,train,41.43
1969-01-09,long_univariate,train,41.43
1969-01-10,long_univariate,train,40.75
1969-01-13,long_univariate,train,35.55
1969-01-14,long_univariate,train,35.55
1969-01-15,long_univariate,train,35.55
1969-01-16,long_univariate,train,35.55
1969-01-17,long_univariate,train,35.55
1969-01-20,long_univariate,train,35.55
1969-01-21,long_univariate,train,35.55
1969-01-22,long_univariate,train,35.55
1969-01-23,long_univariate,train,35.55
1969-01-24,long_univariate,train,35.55
1969-01-27,long_univariate,train,35.55
1969-01-28,long_univariate,train,35.55
1969-01-29,long_univariate,train,35.55
1969-01-30,long_univariate,train,35.55
1969-01-31,long_univariate,train,35.55
1969-02-03,long_univariate,train,41.8
1969-02-04,long_univariate,train,43.25
1969-02-05,long_univariate,train,43.6
1969-02-06,long_univariate,train,42.67
1969-02-07,long_univariate,train,41.23
1969-02-10,long_univariate,train,40.88
1969-02-11,long_univariate,train,40.88
1969-02-12,long_univariate,train,35.3
1969-02-13,long_univariate,train,35.3
1969-02-14,long_univariate,train,35.3
1969-02-17,long_univariate,train,35.3
1969-02-18,long_univariate,train,35.3
1969-02-19,long_univariate,train,35.3
1969-02-20,long_univariate,train,35.3
1969-02-21,long_univariate,train,35.3
1969-02-24,long_univariate,train,35.3
1969-02-25,long_univariate,train,35.3
1969-02-26,long_univariate,train,35.3
1969-02-27,long_univariate,train,35.3
1969-02-28,long_univariate,train,35.3
1969-03-03,long_univariate,train,42.7
1969-03-04,long_univariate,train,43.38
1969-03-05,long_univariate,train,43.38
1969-03-06,long_univariate,train,42.29
1969-03-07,long_univariate,train,41.55
1969-03-10,long_univariate,train,40.95
1969-03-11,long_univariate,train,39.55
1969-03-12,long_univariate,train,35.38
1969-03-13,long_univariate,train,35.38
1969-03-14,long_univariate,train,35.38
1969-03-17,long_univariate,train,35.38
1969-03-18,long_univariate,train,35.38
1969-03-19,long_univariate,train,35.38
1969-03-20,long_univariate,train,35.38
1969-03-21,long_univariate,train,35.38
1969-03-24,long_univariate,train,35.38
1969-03-25,long_univariate,train,35.38
1969-03-26,long_univariate,train,35.38
1969-03-27,long_univariate,train,35.38
1969-03-28,long_univariate,train,35.38
1969-03-31,long_univariate,train,35.38
1969-04-01,long_univariate,train,35.38
1969-04-02,long_univariate,train,42.5
1969-04-03,long_univariate,train,42.85
1969-04-04,long_univariate,train,42.85
1969-04-07,long_univariate,train,41.6
1969-04-08,long_univariate,train,41.3
1969-04-09,long_univariate,train,40.92
1969-04-10,long_univariate,train,40.92
1969-04-11,long_univariate,train,39.55
1969-04-14,long_univariate,train,35.25
1969-04-15,long_univariate,train,35.25
1969-04-16,long_univariate,train,35.25
1969-04-17,long_univariate,train,35.25
1969-04-18,long_univariate,train,35.25
1969-04-21,long_univariate,train,35.25
1969-04-22,long_univariate,train,35.25
1969-04-23,long_univariate,train,35.25
1969-04-24,long_univariate,train,35.25
1969-04-25,long_univariate,train,35.25
1969-04-28,long_univariate,train,35.25
1969-04-29,long_univariate,train,35.25
1969-04-30,long_univariate,train,35.25
1969-05-01,long_univariate,train,35.25
1969-05-02,long_univariate,train,42.73
1969-05-05,long_univariate,train,43.5
1969-05-06,long_univariate,train,41.6
1969-05-07,long_univariate,train,41.6
1969-05-08,long_univariate,train,41.1
1969-05-09,long_univariate,train,40.9
1969-05-12,long_univariate,train,35.2
1969-05-13,long_univariate,train,35.2
1969-05-14,long_univariate,train,35.2
1969-05-15,long_univariate,train,35.2
1969-05-16,long_univariate,train,35.2
1969-05-19,long_univariate,train,35.2
1969-05-20,long_univariate,train,35.2
1969-05-21,long_univariate,train,35.2
1969-05-22,long_univariate,train,35.2
1969-05-23,long_univariate,train,35.2
1969-05-26,long_univariate,train,35.2
1969-05-27,long_univariate,train,35.2
1969-05-28,long_univariate,train,35.2
1969-05-29,long_univariate,train,35.2
1969-05-30,long_univariate,train,35.2
1969-06-02,long_univariate,train,42.62
1969-06-03,long_univariate,train,43.25
1969-06-04,long_univariate,train,43.25
1969-06-05,long_univariate,train,43.38
1969-06-06,long_univariate,train,40.62
1969-06-09,long_univariate,train,41.0
1969-06-10,long_univariate,train,40.75
1969-06-11,long_univariate,train,39.0
1969-06-12,long_univariate,train,39.0
1969-06-13,long_univariate,train,39.0
1969-06-16,long_univariate,train,39.0
1969-06-17,long_univariate,train,39.0
1969-06-18,long_univariate,train,39.0
1969-06-19,long_univariate,train,39.0
1969-06-20,long_univariate,train,39.0
1969-06-23,long_univariate,train,39.0
1969-06-24,long_univariate,train,39.0
1969-06-25,long_univariate,train,39.0
1969-06-26,long_univariate,train,39.0
1969-06-27,long_univariate,train,39.0
1969-06-30,long_univariate,train,39.0
1969-07-01,long_univariate,train,42.1
1969-07-02,long_univariate,train,42.52
1969-07-03,long_univariate,train,43.5
1969-07-04,long_univariate,train,43.5
1969-07-07,long_univariate,train,41.85
1969-07-08,long_univariate,train,41.05
1969-07-09,long_univariate,train,41.05
1969-07-10,long_univariate,train,40.77
1969-07-11,long_univariate,train,38.52
1969-07-14,long_univariate,train,38.52
1969-07-15,long_univariate,train,38.52
1969-07-16,long_univariate,train,38.52
1969-07-17,long_univariate,train,38.52
1969-07-18,long_univariate,train,38.52
1969-07-21,long_univariate,train,38.52
1969-07-22,long_univariate,train,38.52
1969-07-23,long_univariate,train,38.52
1969-07-24,long_univariate,train,38.52
1969-07-25,long_univariate,train,38.52
1969-07-28,long_univariate,train,38.52
1969-07-29,long_univariate,train,38.52
1969-07-30,long_univariate,train,38.52
1969-07-31,long_univariate,train,38.52
1969-08-01,long_univariate,train,42.45
1969-08-04,long_univariate,train,43.38
1969-08-05,long_univariate,train,43.62
1969-08-06,long_univariate,train,43.62
1969-08-07,long_univariate,train,42.1
1969-08-08,long_univariate,train,41.15
1969-08-11,long_univariate,train,40.73
1969-08-12,long_univariate,train,35.05
1969-08-13,long_univariate,train,35.05
1969-08-14,long_univariate,train,35.05
1969-08-15,long_univariate,train,35.05
1969-08-18,long_univariate,train,35.05
1969-08-19,long_univariate,train,35.05
