iter	Passed	Remaining
411	3651	5211
412	3661	5203
413	3666	5189
414	3675	5181
415	3685	5173
416	3694	5165
417	3701	5153
418	3709	5144
419	3714	5129
420	3723	5121
421	3729	5108
422	3738	5100
423	3748	5092
424	3758	5084
425	3767	5076
426	3772	5063
427	3782	5055
428	3788	5042
429	3798	5034
430	3803	5021
431	3812	5013
432	3821	5004
433	3831	4996
434	3837	4984
435	3847	4976
436	3854	4965
437	3862	4956
438	3872	4948
439	3881	4940
440	3887	4927
441	3893	4915
442	3898	4901
443	3906	4891
444	3915	4883
445	3924	4874
446	3930	4863
447	3940	4854
448	3949	4846
449	3958	4838
450	3968	4830
451	3977	4822
452	3986	4814
453	3992	4801
454	3997	4788
455	4003	4775
456	4012	4768
457	4019	4756
458	4024	4743
459	4034	4735
460	4040	4724
461	4049	4716
462	4059	4708
463	4064	4695
464	4074	4687
465	4083	4679
466	4092	4671
467	4099	4660
468	4105	4647
469	4113	4638
470	4119	4627
471	4129	4619
472	4138	4611
473	4148	4603
474	4155	4593
475	4165	4585
476	4174	4577
477	4183	4568
478	4192	4559
479	4201	4551
480	4211	4543
481	4219	4534
482	4226	4523
483	4235	4515
484	4244	4506
485	4253	4499
486	4262	4489
487	4271	4481
488	4281	4474
489	4291	4467
490	4301	4459
491	4311	4451
492	4317	4439
493	4326	4432
494	4336	4424
495	4345	4415
496	4354	4407
497	4359	4394
498	4369	4386
499	4378	4378
500	4388	4371
501	4398	4363
502	4405	4352
503	4411	4341
504	4418	4330
505	4428	4323
506	4438	4315
507	4447	4307
508	4458	4300
509	4466	4291
510	4473	4281
511	4482	4272
512	4492	4264
513	4502	4256
514	4511	4248
515	4520	4240
516	4530	4232
517	4539	4224
518	4546	4213
519	4555	4205
520	4565	4197
521	4575	4189
522	4585	4182
523	4595	4174
524	4606	4167
525	4616	4159
526	4626	4152
527	4636	4144
528	4643	4134
529	4650	4124
530	4660	4116
531	4665	4104
532	4672	4093
533	4680	4084
534	4686	4073
535	4692	4061
536	4701	4053
537	4707	4042
538	4713	4031
539	4722	4022
540	4731	4014
541	4736	4002
542	4745	3993
543	4754	3985
544	4761	3974
545	4770	3966
546	4781	3959
547	4790	3951
548	4799	3943
549	4810	3935
550	4820	3927
551	4830	3920
552	4840	3912
553	4847	3902
554	4852	3891
555	4858	3879
556	4865	3869
557	4875	3862
558	4885	3854
559	4895	3846
560	4905	3838
561	4912	3828
562	4922	3820
563	4932	3812
564	4942	3805
565	4951	3796
566	4957	3786
567	4966	3777
568	4976	3769
569	4983	3759
570	4992	3751
571	5002	3742
572	5011	3734
573	5021	3726
574	5030	3718
575	5035	3706
576	5040	3695
577	5049	3687
578	5056	3676
579	5061	3665
580	5070	3657
581	5080	3648
582	5089	3640
583	5098	3632
584	5109	3624
585	5116	3614
586	5126	3606
587	5137	3599
588	5147	3591
589	5157	3584
590	5167	3576
591	5173	3565
592	5178	3554
593	5184	3543
594	5193	3535
595	5200	3524
596	5209	3516
597	5217	3507
598	5226	3499
599	5231	3487
600	5237	3477
601	5247	3469
602	5257	3461
603	5267	3453
604	5277	3445
605	5287	3437
606	5292	3426
607	5297	3415
608	5306	3407
609	5312	3396
610	5317	3385
611	5326	3376
612	5335	3368
613	5345	3360
614	5356	3353
615	5363	3343
616	5370	3333
617	5374	3322
618	5380	3311
619	5391	3304
620	5400	3295
621	5405	3284
622	5414	3276
623	5420	3266
624	5431	3258
625	5441	3251
626	5452	3243
627	5461	3235
628	5468	3225
629	5478	3217
630	5484	3206
631	5493	3198
632	5503	3191
633	5509	3180
634	5514	3169
635	5523	3161
636	5528	3150
637	5538	3142
638	5548	3134
639	5554	3124
640	5564	3116
641	5569	3105
642	5574	3094
643	5582	3085
644	5592	3077
645	5597	3067
646	5606	3059
647	5614	3050
648	5624	3041
649	5632	3032
650	5642	3024
651	5647	3014
652	5651	3003
653	5657	2993
654	5666	2984
655	5676	2976
656	5684	2967
657	5693	2959
658	5697	2948
659	5707	2940
660	5711	2929
661	5717	2919
662	5726	2910
663	5731	2900
664	5736	2889
665	5745	2881
666	5751	2871
667	5760	2862
668	5770	2854
669	5779	2846
670	5784	2836
671	5793	2827
672	5803	2819
673	5807	2808
674	5814	2799
675	5823	2791
676	5828	2780
677	5837	2772
678	5847	2764
679	5856	2755
680	5865	2747
681	5874	2739
682	5883	2730
683	5893	2722
684	5899	2712
685	5903	2702
686	5908	2692
687	5918	2683
688	5924	2673
689	5928	2663
690	5937	2655
691	5944	2645
692	5953	2637
693	5958	2627
694	5966	2618
695	5975	2610
696	5984	2601
697	5993	2593
698	5998	2583
699	6006	2574
700	6011	2564
701	6020	2555
702	6025	2545
703	6035	2537
704	6039	2527
705	6044	2517
706	6048	2506
707	6053	2496
708	6062	2488
709	6071	2479
710	6080	2471
711	6085	2461
712	6094	2453
713	6103	2444
714	6112	2436
715	6118	2426
716	6123	2416
717	6128	2406
718	6137	2398
719	6145	2390
720	6152	2380
721	6157	2370
722	6161	2360
723	6170	2352
724	6179	2343
725	6183	2333
726	6188	2323
727	6198	2315
728	6207	2307
729	6215	2299
730	6221	2289
731	6230	2281
732	6240	2273
733	6249	2264
734	6254	2254
735	6262	2246
736	6266	2236
737	6276	2228
738	6282	2218
739	6292	2210
740	6297	2201
741	6306	2192
742	6314	2184
743	6319	2174
744	6329	2166
745	6335	2157
746	6345	2149
747	6354	2140
748	6359	2131
749	6364	2121
750	6369	2111
751	6373	2102
752	6378	2092
753	6383	2082
754	6390	2073
755	6394	2063
756	6404	2055
757	6409	2046
758	6413	2036
759	6422	2028
760	6431	2019
761	6439	2011
762	6446	2002
763	6452	1993
764	6456	1983
765	6461	1973
766	6471	1965
767	6477	1956
768	6481	1947
769	6486	1937
770	6495	1929
771	6499	1919
772	6509	1911
773	6514	1902
774	6520	1892
775	6529	1884
776	6537	1876
777	6544	1867
778	6554	1859
779	6563	1851
780	6573	1843
781	6579	1834
782	6583	1824
783	6593	1816
784	6602	1808
785	6611	1800
786	6621	1791
787	6627	1783
788	6632	1773
789	6636	1764
790	6641	1754
791	6645	1745
792	6650	1735
793	6658	1727
794	6662	1718
795	6667	1708
796	6673	1699
797	6683	1691
798	6687	1682
799	6691	1672
800	6697	1664
801	6706	1655
802	6711	1646
803	6720	1638
804	6725	1629
805	6731	1620
806	6740	1612
807	6746	1603
808	6754	1594
809	6760	1585
810	6769	1577
811	6773	1568
812	6782	1560
813	6791	1551
814	6801	1543
815	6807	1534
816	6816	1526
817	6823	1518
818	6827	1508
819	6836	1500
820	6846	1492
821	6851	1483
822	6855	1474
823	6861	1465
824	6870	1457
825	6875	1448
826	6884	1440
827	6891	1431
828	6899	1423
829	6909	1415
830	6918	1407
831	6925	1398
832	6934	1390
833	6941	1381
834	6946	1372
835	6955	1364
836	6964	1356
837	6973	1348
838	6983	1340
839	6987	1330
840	6997	1322
841	7006	1314
842	7015	1306
843	7024	1298
844	7034	1290
845	7043	1282
846	7050	1273
847	7060	1265
848	7065	1256
849	7070	1247
850	7075	1238
851	7084	1230
852	7094	1222
853	7099	1213
854	7104	1204
855	7113	1196
856	7122	1188
857	7131	1180
858	7141	1172
859	7150	1164
860	7160	1155
861	7169	1147
862	7174	1138
863	7178	1129
864	7184	1121
865	7189	1112
866	7199	1104
867	7206	1095
868	7215	1087
869	7220	1078
870	7225	1070
871	7229	1061
872	7237	1052
873	7247	1044
874	7255	1036
875	7259	1027
876	7268	1019
877	7273	1010
878	7282	1002
879	7291	994
880	7298	985
881	7307	977
882	7316	969
883	7320	960
884	7326	952
885	7330	943
886	7340	935
887	7346	926
888	7352	918
889	7361	909
890	7365	901
891	7369	892
892	7376	883
893	7385	875
894	7395	867
895	7404	859
896	7413	851
897	7418	842
898	7427	834
899	7431	825
900	7440	817
901	7450	809
902	7454	800
903	7462	792
904	7466	783
905	7471	775
906	7475	766
907	7479	757
908	7483	749
909	7493	741
910	7502	732
911	7507	724
912	7513	715
913	7518	707
914	7528	699
915	7536	691
916	7544	682
917	7548	674
918	7554	665
919	7564	657
920	7568	649
921	7574	640
922	7583	632
923	7592	624
924	7598	616
925	7603	607
926	7613	599
927	7622	591
928	7632	583
929	7641	575
930	7645	566
931	7650	558
932	7655	549
933	7664	541
934	7668	533
935	7677	524
936	7683	516
937	7689	508
938	7698	500
939	7703	491
940	7712	483
941	7717	475
942	7726	467
943	7731	458
944	7741	450
945	7745	442
946	7751	433
947	7755	425
948	7765	417
949	7770	408
950	7775	400
951	7780	392
952	7784	383
953	7794	375
954	7803	367
955	7807	359
956	7817	351
957	7826	343
958	7833	334
959	7837	326
960	7846	318
961	7852	310
962	7861	302
963	7870	293
964	7879	285
965	7885	277
966	7892	269
967	7901	261
968	7910	253
969	7919	244
970	7929	236
971	7936	228
972	7942	220
973	7952	212
974	7962	204
975	7971	196
976	7976	187
977	7985	179
978	7992	171
979	8001	163
980	8010	155
981	8019	147
982	8024	138
983	8030	130
984	8039	122
985	8044	114
986	8053	106
987	8063	97
988	8071	89
989	8078	81
990	8087	73
991	8096	65
992	8106	57
993	8115	48
994	8124	40
995	8133	32
996	8138	24
997	8143	16
998	8148	8
999	8153	0
