iter	RMSE
0	637.5407943
1	608.5546921
2	580.7594646
3	554.2958592
4	529.3233457
5	505.3559453
6	482.4718383
7	460.6865786
8	440.1657608
9	420.4218634
10	401.6599353
11	383.7984022
12	366.6804681
13	350.5565106
14	335.2263588
15	320.5166791
16	306.6558158
17	293.3077335
18	280.5212295
19	268.419605
20	256.9359339
21	245.9258892
22	235.5066146
23	225.635203
24	216.2090018
25	207.2268367
26	198.7482188
27	190.7332929
28	182.9811553
29	175.7680279
30	168.9050289
31	162.2905982
32	156.0772326
33	150.2204701
34	144.5661711
35	139.2568079
36	134.1440074
37	129.4393827
38	124.985168
39	120.7403096
40	116.6827374
41	112.8757372
42	109.2210837
43	105.8016133
44	102.4674834
45	99.37139481
46	96.41436937
47	93.82101463
48	91.19440023
49	88.73894697
50	86.26350059
51	84.06791161
52	82.03774573
53	80.12692225
54	78.30060971
55	76.63351595
56	74.77901866
57	73.27114426
58	71.85225902
59	70.42145194
60	69.00442445
61	67.82538888
62	66.52001905
63	65.51138955
64	64.51690934
65	63.66801457
66	62.65986657
67	61.86417819
68	61.12583534
69	60.05676514
70	59.25493735
71	58.40296251
72	57.63267051
73	57.10008554
74	56.48931245
75	55.81056531
76	55.32678816
77	54.89524408
78	54.44800714
79	53.96643466
80	53.4359319
81	52.99037599
82	52.31942744
83	51.86700164
84	51.51628889
85	51.21511992
86	50.67959806
87	50.41221988
88	50.12227942
89	49.92310948
90	49.49786928
91	49.2003495
92	49.01560549
93	48.79833078
94	48.59273227
95	48.45789517
96	48.02192689
97	47.78252935
98	47.65267855
99	47.61716965
100	47.29098604
101	46.97875533
102	46.7793925
103	46.68915334
104	46.48647937
105	46.38380194
106	46.20185798
107	45.96148572
108	45.86615048
109	45.84488637
110	45.7810513
111	45.74473262
112	45.70987083
113	45.69564254
114	45.60397032
115	45.59711507
116	45.59503028
117	45.57022753
118	45.38212523
119	45.37306643
120	45.36777122
121	45.13412502
122	44.91666228
123	44.79297482
124	44.79194013
125	44.79097087
126	44.78660577
127	44.65248702
128	44.64705126
129	44.64143052
130	44.64025246
131	44.63519665
132	44.63487244
133	44.47392396
134	44.47336888
135	44.47249051
136	44.36903008
137	44.36840546
138	44.36631837
139	44.04505743
140	44.04274456
141	44.03934912
142	44.03879285
143	44.03499114
144	43.86808619
145	43.86646259
146	43.86309663
147	43.86073103
148	43.85422012
149	43.85279876
150	43.84405608
151	43.84372601
152	43.84142193
153	43.83871858
154	43.83839926
155	43.66323109
156	43.66297764
157	43.48746391
158	43.48722031
159	43.48717246
160	43.48560425
161	43.48554988
162	43.46243557
163	43.46241598
164	43.4615433
165	43.46107104
166	43.46105363
167	43.4602288
