date,split,horizon,gold_price,actual_target,prediction,naive_prediction,predicted_log_return,error,interval_type,origin_index,origin_date,horizon_trading_days,raw_gold_price_anchor,actual_gold_price,predicted_log_return_p10,predicted_log_return_p50,predicted_log_return_p90,forecast_price_p10,forecast_price_p50,forecast_price_p90,p10,p50,p90,interval_width_price
2023-01-02,test,1,1961.699951171875,1852.5,1971.2970385904482,1961.699951171875,0.004880402237176895,118.79703859044821,native,4435,2023-01-02,1,1961.699951171875,1852.5,-0.012559913098812103,0.004880402237176895,0.01565537229180336,1937.215206213281,1971.2970385904482,1992.6529492422414,1937.215206213281,1971.2970385904482,1992.6529492422414,55.43774302896054
2023-01-02,test,5,1961.699951171875,1974.4000244140625,1955.1072883399174,1961.699951171875,-0.003366336226463318,-19.29273607414507,native,4435,2023-01-02,5,1961.699951171875,1974.4000244140625,-0.026919402182102203,-0.003366336226463318,0.011826295405626297,1909.59659911145,1955.1072883399174,1985.0372970851895,1909.59659911145,1955.1072883399174,1985.0372970851895,75.44069797373959
2023-01-02,test,10,1961.699951171875,2005.9000244140625,1953.3873005730711,1961.699951171875,-0.00424647331237793,-52.512723840991384,native,4435,2023-01-02,10,1961.699951171875,2005.9000244140625,-0.029705554246902466,-0.00424647331237793,0.010724402964115143,1904.283579115683,1953.3873005730711,1982.8512405733636,1904.283579115683,1953.3873005730711,1982.8512405733636,78.56766145768052
2023-01-02,test,20,1961.699951171875,1940.800048828125,1951.297825291389,1961.699951171875,-0.00531671941280365,10.497776463264017,native,4435,2023-01-02,20,1961.699951171875,1940.800048828125,-0.028120890259742737,-0.00531671941280365,0.009104769676923752,1907.303554917322,1951.297825291389,1979.642311662872,1907.303554917322,1951.297825291389,1979.642311662872,72.3387567455502
2023-01-02,test,30,1961.699951171875,1868.5,1952.753793182128,1961.699951171875,-0.004570797085762024,84.25379318212799,native,4435,2023-01-02,30,1961.699951171875,1868.5,-0.0300377756357193,-0.004570797085762024,0.0106186643242836,1903.6511240625987,1952.753793182128,1982.6417084130517,1903.6511240625987,1952.753793182128,1982.6417084130517,78.99058435045299
2023-01-03,test,1,1852.5,1852.5,1870.2284297347069,1852.5,0.009524401277303696,17.72842973470688,native,4436,2023-01-03,1,1852.5,1852.5,-0.004470173269510269,0.009524401277303696,0.022500500082969666,1844.237450659275,1870.2284297347069,1894.6545705199242,1844.237450659275,1870.2284297347069,1894.6545705199242,50.41711986064911
2023-01-03,test,5,1852.5,1974.4000244140625,1856.8524411320686,1852.5,0.0023466944694519043,-117.54758328199387,native,4436,2023-01-03,5,1852.5,1974.4000244140625,-0.018645700067281723,0.0023466944694519043,0.022112779319286346,1818.2789343595505,1856.8524411320686,1893.9202934503555,1818.2789343595505,1856.8524411320686,1893.9202934503555,75.64135909080505
2023-01-03,test,10,1852.5,1931.800048828125,1866.1860412359238,1852.5,0.007360689342021942,-65.61400759220123,native,4436,2023-01-03,10,1852.5,1931.800048828125,-0.01455627754330635,0.007360689342021942,0.025936901569366455,1825.7298038899899,1866.1860412359238,1901.1767175793648,1825.7298038899899,1866.1860412359238,1901.1767175793648,75.44691368937492
2023-01-03,test,20,1852.5,1938.0,1865.732445716858,1852.5,0.007117629051208496,-72.26755428314209,native,4436,2023-01-03,20,1852.5,1938.0,-0.011777080595493317,0.007117629051208496,0.0248921699821949,1830.810780376196,1865.732445716858,1899.1914090514183,1830.810780376196,1865.732445716858,1899.1914090514183,68.3806286752224
2023-01-03,test,30,1852.5,1871.0,1863.3260044455528,1852.5,0.005826957523822784,-7.673995554447174,native,4436,2023-01-03,30,1852.5,1871.0,-0.016487345099449158,0.005826957523822784,0.024868745356798172,1822.2077031433582,1863.3260044455528,1899.1470211744308,1822.2077031433582,1863.3260044455528,1899.1470211744308,76.93931803107262
