Date, GLD Close, NAV per GLD in Gold, NAV/share at 10.30 a.m. NYT, Indicative Price of GLD at 4.15 p.m. NYT, Mid point of bid/ask spread at 4.15 p.m. NYT#, Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT, Daily Share Volume, Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT, Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT, Total Net Asset Value in the Trust
27-Sep-10,126.72,97.70931,126.7289756,126.709,$126.71 ,0.00%,11906000,41813063.31,1300.52,54214655771
28-Sep-10,127.88,97.70817,126.4343708,127.724,$127.88 ,0.12%,11835100,41979167.2,1305.69,54303562255
29-Sep-10,127.95,97.70742,127.7524556,127.967,$127.97 ,0.00%,11958400,41979167.2,1305.69,54869679694
30-Sep-10,127.91,97.70634,127.7021863,127.937,$127.90 ,-0.03%,19193126,41949855.29,1304.78,54809778373
1-Oct-10,128.91,97.7055,128.6048687,128.62,$128.92 ,0.23%,17118340,41871690.89,1302.34,55094325736
4-Oct-10,128.46,97.70221,128.3318594,128.508,$128.47 ,-0.03%,8345772,41857791.69,1301.91,54977368547
5-Oct-10,130.99,97.70121,129.9914583,130.939,$131.00 ,0.05%,17430808,41857791.69,1301.91,55688340716
6-Oct-10,131.81,97.70021,131.5533328,131.631,$131.77 ,0.11%,16096060,41857791.69,1301.91,56357447760
7-Oct-10,130.37,97.69913,131.4053318,130.497,$130.38 ,-0.09%,11682700,41427915.52,1288.54,55715860694
8-Oct-10,131.65,97.69804,131.0619198,131.365,$131.62 ,0.19%,12013400,41418145.72,1288.24,55557147802
11-Oct-10,132.28,97.69491,132.0346738,132.171,$132.31 ,0.10%,12131300,41388837.25,1287.33,55929887802
12-Oct-10,131.96,97.69381,131.7401079,131.838,$131.97 ,0.10%,12159600,41388837.25,1287.33,55805109721
13-Oct-10,134.09,97.69291,133.3996711,133.83,$134.07 ,0.18%,12176800,41320452.21,1285.2,56414720912
14-Oct-10,134.76,97.69192,134.1554331,134.561,$134.76 ,0.15%,19856324,41935911.3,1304.34,57579511868
15-Oct-10,133.68,97.69079,133.5921529,133.367,$133.69 ,0.24%,26162220,41857758.67,1301.91,57230878288
18-Oct-10,134.31,97.68757,133.5633343,133.998,$134.32 ,0.24%,12233143,41828452.4,1301,57178463421
19-Oct-10,130.11,97.68609,130.8016725,130.147,$130.13 ,-0.01%,25275358,41799146.57,1300.09,55956955475
20-Oct-10,131.32,97.68502,130.800239,131.416,$131.32 ,-0.07%,12527706,41769841.07,1299.18,55917102175
21-Oct-10,129.47,97.68402,131.2384833,129.324,$129.46 ,0.11%,21787683,41740535.86,1298.27,56065080066
22-Oct-10,129.72,97.68258,129.1852154,129.566,$129.72 ,0.12%,11887889,41740535.86,1298.27,55187924007
25-Oct-10,130.87,97.67967,130.6465609,131.008,$130.86 ,-0.11%,12138530,41740535.86,1298.27,55812210806
26-Oct-10,130.88,97.67844,129.8634797,130.791,$130.88 ,0.07%,10585538,41740535.86,1298.27,55477678538
27-Oct-10,129.52,97.67726,129.3735257,129.491,$129.49 ,0.00%,16102924,41740535.86,1298.27,55268370171
28-Oct-10,131.24,97.67639,130.2514635,131.15,$131.22 ,0.05%,15888172,41574486,1293.1,55421997704
29-Oct-10,132.64,97.67562,131.5446445,132.497,$132.62 ,0.09%,13950443,41574486,1293.1,55972246242
1-Nov-10,131.92,97.67261,132.2975436,131.946,$131.92 ,-0.02%,12422362,41574486,1293.1,56292604814
2-Nov-10,132.47,97.67144,131.9541218,132.491,$132.47 ,-0.02%,9375524,41545184.57,1292.19,56106892568
3-Nov-10,131.57,97.67023,131.4152909,131.464,$131.64 ,0.13%,31568243,41545184.57,1292.19,55877781687
4-Nov-10,136.03,97.67011,134.8824253,136.094,$135.98 ,-0.08%,23290560,41545184.57,1292.19,57352007217
5-Nov-10,136.38,97.66943,136.2976888,136.327,$136.32 ,-0.01%,20296967,41531577.31,1291.77,57953777276
8-Nov-10,137.78,97.66618,135.6094876,137.66,$137.75 ,0.07%,17276993,41609710.25,1294.2,57769641705
9-Nov-10,135.59,97.66532,138.7824164,136.927,$135.63 ,-0.95%,39249351,41570644.12,1292.98,59065796409
10-Nov-10,137.18,97.66403,135.8018289,137.15,$137.18 ,0.02%,28435148,41531578.51,1291.77,57742937628
11-Nov-10,137.64,97.66302,136.5817352,137.451,$137.63 ,0.13%,15342730,41502279.61,1290.86,58033579295
12-Nov-10,133.69,97.66186,135.6034951,133.553,$133.66 ,0.08%,35862740,41502279.61,1290.86,57617925063
15-Nov-10,132.5,97.65842,133.6455503,133.265,$132.51 ,-0.57%,15006817,41502279.61,1290.86,56785994300
16-Nov-10,130.99,97.65711,131.7394361,130.831,$130.99 ,0.12%,31507037,41502279.61,1290.86,55976086405
17-Nov-10,130.38,97.65588,130.6147376,130.39,$130.42 ,0.02%,15777205,41502279.61,1290.86,55498201983
18-Nov-10,132.1,97.65499,131.8586539,132.313,$132.10 ,-0.16%,15955725,41355797.12,1286.3,55828954074
19-Nov-10,132.2,97.6538,131.1002322,132.155,$132.18 ,0.02%,14141683,41453450.92,1289.34,55638938561
22-Nov-10,133.48,97.65084,132.4633631,133.04,$133.44 ,0.30%,12984578,41316739.74,1285.08,56032002599
23-Nov-10,134.38,97.65014,134.5130747,134.454,$134.38 ,-0.06%,18190368,41316739.74,1285.08,56899030575
24-Nov-10,134.18,97.64898,134.0232283,134.121,$134.16 ,0.03%,8840651,41316739.74,1285.08,56691825590
25-Nov-10, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
26-Nov-10,133.15,97.64649,132.3109874,133.121,$133.08 ,-0.03%,7814623,41316739.74,1285.08,55967547674
29-Nov-10,133.49,97.64332,132.5019864,133.508,$133.50 ,-0.01%,13959145,41365561.4,1286.6,56114591232
30-Nov-10,135.42,97.64287,135.0889059,135.079,$135.36 ,0.21%,16617096,41365561.4,1286.6,57210151642
1-Dec-10,135.38,97.64184,135.2827742,135.615,$135.41 ,-0.15%,16838449,41599901.82,1293.89,57616933544
2-Dec-10,135.2,97.64086,135.6231514,135.233,$135.20 ,-0.02%,17561923,41746363.11,1298.45,57965334918
3-Dec-10,138.03,97.64014,137.0379394,137.497,$138.06 ,0.41%,16513076,41732948.79,1298.03,58570015313
6-Dec-10,139.17,97.63698,138.1807359,138.381,$139.16 ,0.56%,15586039,41732948.79,1298.03,59058446519
7-Dec-10,136.5,97.63593,138.6430244,137.374,$136.50 ,-0.64%,26480371,41723185.2,1297.73,59242164335
8-Dec-10,134.79,97.63467,135.2728317,134.99,$134.80 ,-0.14%,23429479,41645077.46,1295.3,57693862723
9-Dec-10,135.31,97.63364,135.8327949,135.457,$135.32 ,-0.10%,14096448,41596260.64,1293.78,57864770632
10-Dec-10,135.39,97.63245,134.2690226,135.367,$135.41 ,0.03%,11888655,41469338.46,1289.83,57024053886
13-Dec-10,136.05,97.62947,136.5836241,136.349,$136.06 ,-0.21%,11888655,41469338.46,1289.83,58007065138
14-Dec-10,136.18,97.62835,136.1427348,136.494,$136.20 ,-0.22%,17352520,41371710.11,1286.79,57683676732
15-Dec-10,134.7,97.62722,135.5797967,134.999,$134.75 ,-0.18%,14905469,41352184.66,1286.19,57418043896
16-Dec-10,133.84,97.62583,133.0640084,133.445,$133.80 ,0.27%,23636542,41274084,1283.76,56246156366
17-Dec-10,134.19,97.62483,133.5995858,134.449,$134.21 ,-0.18%,17140460,41762208.15,1298.94,57140542844
20-Dec-10,135.11,97.6218,134.7180837,135.157,$135.10 ,-0.04%,14097150,41762208.15,1298.94,57618924402
21-Dec-10,135.32,97.62078,135.0095352,135.449,$135.26 ,-0.14%,10284476,41732921.91,1298.03,57703075351
22-Dec-10,135.05,97.61977,135.3986263,135.252,$135.03 ,-0.16%,7296520,41430300.63,1288.62,57449637122
23-Dec-10,134.66,97.61847,134.0789644,134.665,$134.64 ,-0.02%,8689859,41313158.46,1284.97,56728809845
24-Dec-10, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
27-Dec-10,135.02,97.61432,134.7565648,135.001,$135.01 ,0.01%,17284700,41313158.46,1284.97,57015502577
28-Dec-10,137.22,97.61325,134.755088,137.274,$137.22 ,-0.04%,10109510,41283874.49,1284.06,56974451222
29-Dec-10,137.71,97.61287,137.8781844,137.742,$137.69 ,-0.04%,8050998,41283874.49,1284.06,58294896350
30-Dec-10,137.03,97.61165,137.193173,137.154,$137.05 ,-0.08%,5731700,41176501.67,1280.72,57854361056
31-Dec-10,138.72,97.61069,137.6554737,138.5,$138.73 ,0.17%,9283370,41176501.67,1280.72,58049313275
3-Jan-11,138,97.60748,137.6509481,138.241,$138.00 ,-0.17%,11436834,41176501.67,1280.72,58047404825
4-Jan-11,134.75,97.60584,135.5257045,134.734,$134.73 ,0.00%,26122789,41039853.5,1276.47,56961453600
5-Jan-11,134.37,97.60419,133.5225353,134.078,$134.38 ,0.23%,16669236,40917984.67,1272.68,55972646803
6-Jan-11,133.83,97.60312,133.5698764,133.835,$133.86 ,0.02%,15946488,40917984.67,1272.68,55992492173
7-Jan-11,133.59,97.60205,133.4219996,133.788,$133.60 ,-0.14%,16749073,40869183.64,1271.16,55863791251
10-Jan-11,134.12,97.59885,133.539624,134.102,$134.14 ,0.03%,7939554,40917983.07,1272.68,55979810386
11-Jan-11,134.87,97.59782,134.0994102,134.984,$134.91 ,-0.05%,10263589,40878943.94,1271.47,56160832971
12-Jan-11,135.46,97.5968,134.5615816,135.467,$135.43 ,-0.03%,11005306,40878943.94,1271.47,56354390366
13-Jan-11,134.05,97.59575,134.8285307,134.458,$133.99 ,-0.35%,14282495,40673992.87,1265.09,56183048737
14-Jan-11,132.73,97.59453,133.4117269,132.707,$132.69 ,-0.01%,21219514,40488563.26,1259.33,55339184326
17-Jan-11, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
18-Jan-11,133.43,97.59029,133.6499077,133.253,$133.42 ,0.13%,11581903,40410491.03,1256.9,55331061800
19-Jan-11,133.72,97.58926,133.8924651,133.454,$133.72 ,0.20%,11779047,40234830.36,1251.43,55190474116
20-Jan-11,131.04,97.58778,131.3043619,131.889,$131.16 ,-0.55%,24330612,40234830.36,1251.43,54123657969
21-Jan-11,131.06,97.58668,131.1077051,131.11,$131.03 ,-0.06%,19430367,40888661.11,1271.77,54921017675
24-Jan-11,130.36,97.58346,131.0545906,130.493,$130.32 ,-0.13%,14899809,40537360.66,1260.84,54426971454
25-Jan-11,130.07,97.58202,129.1985878,129.843,$130.10 ,0.20%,22217215,39532265.85,1229.58,52325428059
26-Jan-11,131.15,97.58103,129.5876098,130.772,$131.14 ,0.28%,20530040,39532265.85,1229.58,52482981960
27-Jan-11,127.94,97.58011,130.2206511,128.132,$127.94 ,-0.15%,32978421,39434685.74,1226.55,52609143059
28-Jan-11,130.28,97.57868,128.7062762,130.52,$130.32 ,-0.15%,28046459,39356622.8,1224.12,51894370567
31-Jan-11,129.87,97.57568,129.4829216,129.738,$129.89 ,0.12%,28046459,39454198.48,1227.15,52336996929
1-Feb-11,130.8,97.57472,129.9207455,130.568,$130.76 ,0.15%,15362650,39454198.48,1227.15,52513965320
2-Feb-11,130.46,97.5738,130.456174,130.199,$130.44 ,0.19%,10139969,39454198.48,1227.15,52730385538
3-Feb-11,132.2,97.57248,129.5762587,132.002,$132.18 ,0.13%,17358166,39522499.21,1229.28,52465427153
4-Feb-11,131.61,97.57217,132.2102938,131.629,$131.64 ,0.01%,15195840,39509197.04,1228.86,53531947974
7-Feb-11,131.64,97.56892,131.4741228,131.74,$131.68 ,-0.05%,16729200,39509197.04,1228.86,53233872308
8-Feb-11,133.13,97.56796,133.0339075,133.045,$133.12 ,0.06%,16190543,39499440.25,1228.56,53852125757
9-Feb-11,133.07,97.5669,133.1788145,132.939,$133.09 ,0.11%,10129979,39431143.42,1226.44,53817558935
10-Feb-11,132.85,97.56573,132.0308297,132.819,$132.92 ,0.08%,7983338,39401873.7,1225.53,53314049049
11-Feb-11,132.35,97.56476,133.0783316,132.457,$132.32 ,-0.10%,9889567,39401873.7,1225.53,53737030285
14-Feb-11,132.95,97.56156,133.1715331,132.933,$132.92 ,-0.01%,10422456,39401873.7,1225.53,53774665050
15-Feb-11,133.97,97.56058,133.9262925,134.102,$133.95 ,-0.11%,10171403,39353093.41,1224.01,54012473770
16-Feb-11,134.1,97.5595,133.7784599,134.162,$134.13 ,-0.02%,12816813,39353093.41,1224.01,53952852859
17-Feb-11,135.04,97.55853,134.5332128,135.082,$135.01 ,-0.05%,11308700,39353093.41,1224.01,54257244727
18-Feb-11,135.41,97.55752,134.9708334,135.293,$135.36 ,0.05%,15854569,39323826.15,1223.1,54393245858
21-Feb-11, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
22-Feb-11,136.29,97.55352,136.6724877,136.58,$136.31 ,-0.20%,16666064,39167740.52,1218.24,54860336578
23-Feb-11,137.51,97.5526,137.4759982,137.452,$137.51 ,0.04%,15679901,39167740.52,1218.24,55182865687
24-Feb-11,136.45,97.55157,137.6940393,137.117,$136.47 ,-0.47%,18758496,38953127.07,1211.57,54967460503
25-Feb-11,137.4,97.55033,136.8143382,137.505,$137.39 ,-0.08%,10342687,38953127.07,1211.57,54616283818
28-Feb-11,137.72,97.5473,137.639244,137.159,$137.67 ,0.37%,8843932,38933617.61,1210.96,54918058338
1-Mar-11,139.9,97.54644,138.5891106,139.489,$139.98 ,0.35%,17376749,38933617.61,1210.96,55297055108
2-Mar-11,139.93,97.5457,140.0268513,139.659,$139.89 ,0.17%,15537933,38933617.61,1210.96,55870713679
3-Mar-11,138.09,97.54431,138.6592399,137.901,$138.12 ,0.16%,16481006,38922671.15,1210.62,55325036724
4-Mar-11,139.35,97.54327,139.1942425,139.226,$139.32 ,0.07%,14457422,38922671.15,1210.62,55538502767
7-Mar-11,139.73,97.54013,140.2139359,140.048,$139.72 ,-0.23%,14060953,39137259.44,1217.3,56253831093
8-Mar-11,139.36,97.53898,139.11,139.342,$139.34 ,0.00%,10575968,39137259.44,1217.3,55812925270
9-Mar-11,139.41,97.53795,139.5768035,139.448,$139.38 ,-0.05%,8578954,39137259.44,1217.3,55998213566
10-Mar-11,137.77,97.53672,137.8437716,137.861,$137.76 ,-0.07%,15512577,39137259.44,1217.3,55302921145
11-Mar-11,138.19,97.53564,137.6715494,138.635,$138.19 ,-0.32%,10406739,39078738.05,1215.48,55151222699
14-Mar-11,138.86,97.53256,138.7156799,138.899,$138.86 ,-0.03%,10230897,39020218.52,1213.65,55486271948
15-Mar-11,136.27,97.53121,136.5924586,136.313,$136.28 ,-0.02%,23449865,38990959.15,1212.74,54596005689
16-Mar-11,136.24,97.53016,136.7372859,136.238,$136.26 ,0.02%,13208797,39137254.39,1217.3,54858999101
17-Mar-11,136.97,97.52912,136.9064989,136.875,$136.89 ,0.01%,9109354,39137254.39,1217.3,54926887351
18-Mar-11,138.37,97.52829,138.4901765,138.332,$138.36 ,0.02%,18586263,39429839.26,1226.4,55977729342
21-Mar-11,139.11,97.52529,139.6562145,139.159,$139.14 ,-0.01%,13731587,39088500.75,1215.78,55960245131
22-Mar-11,139.05,97.52411,139.0693872,139.094,$139.07 ,-0.02%,9539589,39059243.51,1214.87,55683382620
23-Mar-11,140.34,97.52329,140.3847812,140.349,$140.31 ,-0.03%,11555075,39059243.51,1214.87,56210066400
24-Mar-11,139.22,97.52237,141.1148639,139.306,$139.25 ,-0.04%,16973433,39029986.8,1213.96,56460057054
25-Mar-11,139.26,97.52108,140.0402728,139.323,$139.25 ,-0.05%,12477728,39029986.8,1213.96,56030113164
28-Mar-11,138.56,97.51745,138.1822281,138.333,$138.54 ,0.15%,7653356,38961724.59,1211.84,55189981917
29-Mar-11,138.24,97.51639,138.2294886,138.234,$138.23 ,0.00%,6047865,38961724.59,1211.84,55208857744
30-Mar-11,138.67,97.51552,139.0083703,138.769,$138.69 ,-0.06%,10597856,38961724.59,1211.84,55519943096
31-Mar-11,139.82,97.51478,140.3237661,139.992,$139.86 ,-0.09%,15223048,38942221.63,1211.23,56017247423
1-Apr-11,139.2,97.51318,138.273687,139.261,$139.19 ,-0.05%,15734173,38942221.63,1211.23,55198855843
4-Apr-11,139.84,97.51046,139.9762588,139.723,$139.79 ,0.05%,6218433,38942221.63,1211.23,55878522516
5-Apr-11,142.05,97.50933,139.7796257,141.71,$142.01 ,0.21%,18281680,38990976.3,1212.75,55869916371
6-Apr-11,142.38,97.50905,142.5094808,142.344,$142.41 ,0.05%,10605701,38756954.58,1205.47,56619016726
7-Apr-11,142.51,97.50793,142.3128195,142.347,$142.48 ,0.09%,9485109,39134493.46,1217.21,57110134480
8-Apr-11,143.66,97.50694,143.2864422,143.438,$143.69 ,0.18%,13090729,39134493.46,1217.21,57500849261
11-Apr-11,142.62,97.50372,143.1354541,142.531,$142.64 ,0.08%,9469482,39134493.46,1217.21,57440257746
12-Apr-11,141.65,97.50246,141.4273166,141.544,$141.66 ,0.08%,14943535,39105242.72,1216.3,56712353938
13-Apr-11,141.9,97.50147,142.1083944,142.138,$141.92 ,-0.15%,13882760,38997991.1,1212.96,56829146900
14-Apr-11,143.82,97.5005,142.9113629,143.652,$143.81 ,0.11%,13073866,38997991.1,1212.96,57150254016
15-Apr-11,145.06,97.49958,143.982498,144.821,$145.06 ,0.17%,19059471,39582988.58,1231.16,58442495941
18-Apr-11,145.93,97.49661,145.5624318,145.787,$145.92 ,0.09%,17367788,39582988.58,1231.16,59083791081
19-Apr-11,145.93,97.4955,145.3170416,145.688,$145.95 ,0.18%,10943588,39553739.93,1230.25,58940592087
20-Apr-11,146.5,97.4946,146.3393883,146.179,$146.49 ,0.21%,13375300,39553739.93,1230.25,59355255881
21-Apr-11,146.74,97.49358,146.6303386,146.835,$146.74 ,-0.06%,10104123,39534241.22,1229.64,59443939263
22-Apr-11, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
25-Apr-11,146.87,97.4893,146.6239111,147.243,$146.89 ,-0.24%,15573421,39534241.22,1229.64,59441333544
26-Apr-11,146.39,97.4881,145.9884371,146.376,$146.37 ,0.00%,15953404,39534241.22,1229.64,59183712380
27-Apr-11,149.21,97.48731,147.3033305,148.571,$149.18 ,0.41%,20871365,39534241.22,1229.64,59716770199
28-Apr-11,149.81,97.48675,149.6909079,149.676,$149.82 ,0.10%,20490561,39534241.22,1229.64,60684694064
29-Apr-11,152.36,97.48568,149.6892675,152.57,$152.36 ,-0.14%,26140384,39534241.22,1229.64,60684029026
2-May-11,150.43,97.48248,149.6843462,151.658,$150.42 ,-0.82%,20549676,39534241.22,1229.64,60682033957
3-May-11,149.88,97.48152,150.1459165,149.931,$149.89 ,-0.03%,24194421,39368522.63,1224.49,60613906487
4-May-11,147.79,97.48047,150.2174097,148.005,$147.76 ,-0.17%,35095110,39222301.93,1219.94,60417442187
5-May-11,143.47,97.47863,147.2902137,143.552,$143.44 ,-0.08%,51224942,38851883.13,1208.42,58680421117
6-May-11,145.3,97.47689,144.8993909,145.119,$145.32 ,0.14%,24178431,38754406.24,1205.39,57583017942
9-May-11,147.38,97.47415,146.4061689,147.152,$147.42 ,0.18%,13836818,38644033.41,1201.95,58035405363
10-May-11,147.9,97.47318,147.5256581,147.998,$147.88 ,-0.08%,11278435,38644033.41,1201.95,58479170872
11-May-11,146.54,97.47206,146.9878662,146.679,$146.59 ,-0.06%,21358793,38614791.8,1201.04,58221893790
12-May-11,146.59,97.4708,145.1827567,146.406,$146.57 ,0.11%,18700122,38361367.72,1193.16,57129414756
13-May-11,145.63,97.46991,146.7653217,145.542,$145.59 ,0.03%,16905450,38332126.74,1192.25,57708124479
16-May-11,145.36,97.46664,146.2730639,145.449,$145.39 ,-0.04%,10060996,38332126.74,1192.25,57514568713
17-May-11,144.74,97.46526,144.1023854,144.521,$144.73 ,0.14%,16436657,38332126.74,1192.25,56661057943
18-May-11,145.6,97.46446,145.8555639,145.563,$145.59 ,0.02%,10490482,38302887.4,1191.34,57306651050
19-May-11,145.65,97.46334,145.5127625,145.537,$145.66 ,0.08%,8082103,38302887.4,1191.34,57171964395
20-May-11,147.48,97.46223,145.2918231,147.602,$147.51 ,-0.06%,19525615,38644005.21,1201.95,57593678669
23-May-11,147.82,97.45939,147.2124015,147.834,$147.85 ,0.01%,15929805,38887653.68,1209.53,58723026959
24-May-11,148.56,97.45862,148.8193098,148.585,$148.57 ,-0.01%,14934026,39033841.61,1214.08,59587251642
25-May-11,148.58,97.45754,148.7445644,148.798,$148.62 ,-0.12%,11018248,39033841.61,1214.08,59557323571
26-May-11,148.22,97.45632,147.9874174,148.241,$148.25 ,0.01%,9453365,39033841.61,1214.08,59254161931
27-May-11,149.7,97.45554,149.3993433,149.472,$149.72 ,0.17%,10168211,39004604.95,1213.17,59774677268
30-May-11, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY, HOLIDAY
31-May-11,149.64,97.45135,149.7339957,149.573,$149.65 ,0.05%,10168211,38926643.87,1210.74,59788784474
1-Jun-11,149.88,97.45022,149.4642679,150.678,$149.89 ,-0.52%,18343436,38994859.03,1212.87,59785707149
2-Jun-11,149.5,97.44929,150.0231749,149.404,$149.50 ,0.06%,13241754,38994859.03,1212.87,60009269946
3-Jun-11,150.26,97.44823,150.0702738,150.231,$150.23 ,0.00%,12504205,38994859.03,1212.87,60028109526
6-Jun-11,150.48,97.44526,150.9427148,150.441,$150.49 ,0.03%,10508899,38994859.03,1212.87,60377085906
7-Jun-11,150.43,97.44409,150.5511163,150.541,$150.42 ,-0.08%,9386172,38994859.03,1212.87,60220446512
8-Jun-11,149.81,97.44282,149.8426923,149.594,$149.82 ,0.15%,9559431,38953088.82,1211.57,59892124123
9-Jun-11,150.58,97.44175,149.8410502,150.421,$150.56 ,0.09%,7712865,38953088.82,1211.57,59891467771
