horizon,trial_number,value,state,timestamp_utc,elapsed_hms,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_reg_alpha,param_reg_lambda,param_gamma,param_max_delta_step,param_max_bin
5,0,113.39308767133642,TrialState.COMPLETE,2026-05-05T10:11:47Z,00:10:54,610,6,0.008063267627044185,0.8353618329224207,0.894219146487462,2.1357654210624104,0.3176374226861316,38.80549204620454,3.643143987713475,2.3075995780503744,256
5,1,121.88842847182451,TrialState.COMPLETE,2026-05-05T10:11:47Z,00:10:54,379,7,0.008727368184408422,0.6125189754142176,0.585252072326379,24.71719954708471,0.1776119360737852,3.331750690511561,4.6560155158120144,6.28276974436015,256
5,2,107.64592111325139,TrialState.COMPLETE,2026-05-05T10:11:48Z,00:10:54,310,3,0.009388730873433657,0.7452070962317229,0.586748654545313,3.397731915099019,0.14614059298200113,2.9838605868928982,2.2106642250131667,5.145096009043749,128
5,3,122.20599359408094,TrialState.COMPLETE,2026-05-05T10:11:48Z,00:10:55,851,2,0.004068401665703869,0.6996736746321938,0.8784399274643949,2.5770883849836563,0.00014084482317166307,0.0033360163318168837,5.370542877563599,4.610590594721638,128
5,4,117.48558979695582,TrialState.COMPLETE,2026-05-05T10:11:49Z,00:10:55,833,7,0.006538565603426584,0.7344257581399529,0.6324618053141646,16.446294859566596,0.00010054253213141468,2.2937737322867853,4.3041740899207035,4.986392587286429,512
5,5,98.92867491894548,TrialState.COMPLETE,2026-05-05T10:11:49Z,00:10:56,606,3,0.004117234007845683,0.8908638971765697,0.760337665679091,1.672298124950819,2.277605038165756e-06,1.450648662649507,0.7651693629517755,3.545292117212365,128
5,6,125.69587516239676,TrialState.COMPLETE,2026-05-05T10:11:50Z,00:10:56,503,2,0.021228038808175365,0.6367734114235059,0.8414712569117189,4.0591808677477585,0.7299940733181165,0.00017081205870709418,6.184965703828673,4.069935535288995,512
5,7,125.98845676381565,TrialState.COMPLETE,2026-05-05T10:11:50Z,00:10:57,559,2,0.020399575899128154,0.8715085056858579,0.7910207167858051,2.145843134008203,3.7104548748010926e-08,19.623352929845115,7.62725063731771,1.6606466795673445,512
5,8,111.25253757689845,TrialState.COMPLETE,2026-05-05T10:11:51Z,00:10:57,604,3,0.014036364875551724,0.7964101749196641,0.6172511106676624,6.5535774239355495,4.830460989193299,48.49906209036071,2.85272665421211,3.6268382543431654,256
5,9,97.78513401619732,TrialState.COMPLETE,2026-05-05T10:11:51Z,00:10:58,300,5,0.004931227278526322,0.6338783936077165,0.6165273649267453,10.934174531237014,0.00021071222541007792,0.0007757992855226465,0.19133456735037413,7.046667842304323,128
5,10,100.72521528355622,TrialState.COMPLETE,2026-05-05T10:11:52Z,00:10:58,1123,5,0.07608704760836428,0.9645807787597644,0.9889600219706653,9.092877477978208,0.010043291599606445,0.018377334978539477,0.022057326920359,7.589382645578314,128
5,11,98.66813597537605,TrialState.COMPLETE,2026-05-05T10:11:52Z,00:10:59,324,5,0.004312795181145903,0.9248168242511827,0.7258081359584848,1.0598346360714925,8.840929614029389e-07,0.1900920078419022,0.349766135830356,7.74103522603396,128
5,12,103.79761296295715,TrialState.COMPLETE,2026-05-05T10:11:53Z,00:10:59,252,5,0.06371899893952633,0.9994409961246644,0.7014187330240563,11.052247231617843,3.1947003233052238e-06,0.17519969156343662,1.4547053671932924,7.717811927176526,128
5,13,103.77159075185564,TrialState.COMPLETE,2026-05-05T10:11:53Z,00:11:00,420,4,0.03664899295157503,0.9252392137972032,0.6898033904371486,1.1315820910505838,2.5506691992616492e-08,0.00018864401052842144,0.018945482766678845,6.519766348837917,128
5,14,104.03550704668909,TrialState.COMPLETE,2026-05-05T10:11:54Z,00:11:00,1073,8,0.005765625078813241,0.6694441782173819,0.6821720089508837,1.0318516872523662,9.96048092596969e-07,0.002765935861050136,1.6076071398484275,6.477885812543532,128
5,15,108.60299479721395,TrialState.COMPLETE,2026-05-05T10:11:54Z,00:11:01,415,5,0.013497072053196278,0.8014058020764159,0.554400783589847,5.650789547509749,0.0028147665200666193,0.08145366627287126,2.617593786215808,7.949680359616435,128
5,16,100.58782028379191,TrialState.COMPLETE,2026-05-05T10:11:55Z,00:11:01,799,6,0.04268057853550072,0.9349022368865041,0.7490258388512183,13.808439934619518,2.1994411521709338e-05,0.002294015333828642,0.9227792754883404,0.42860608326931704,128
5,17,113.16533998725556,TrialState.COMPLETE,2026-05-05T10:11:55Z,00:11:02,253,4,0.005123935404053804,0.777529980977312,0.6614332701135227,28.84078758992483,0.0027678976860854693,0.33241678246659945,3.3500357717299023,5.843755381371421,128
5,18,104.37274644751399,TrialState.COMPLETE,2026-05-05T10:11:55Z,00:11:02,480,6,0.012389437111705391,0.8568545432221413,0.7299200953831401,8.081232899708027,3.5900790491944876e-07,0.023177846306989346,1.8869350016576822,7.295511749129416,256
5,19,99.03946695821482,TrialState.COMPLETE,2026-05-05T10:11:56Z,00:11:03,950,4,0.006678721976693782,0.6925149432991767,0.6390486908763248,18.99130473150327,1.7249891750075425e-05,0.010990084786479608,0.6708594320443408,6.9810528754835675,512
5,20,129.37879572266533,TrialState.COMPLETE,2026-05-05T10:11:57Z,00:11:03,718,7,0.1164160556680222,0.6042308841828055,0.8226390778647017,4.0813424877165225,2.2883912388856183e-07,0.0006260632166111467,7.5670098997522794,5.629032514848773,128
5,21,99.49598757130725,TrialState.COMPLETE,2026-05-05T10:11:57Z,00:11:04,701,3,0.004133085306731475,0.898225200091884,0.7650890646521531,1.5967149149973856,7.700682841076034e-06,0.6458827566874702,0.8705327482866649,2.8173852415229166,128
5,22,98.73847891977277,TrialState.COMPLETE,2026-05-05T10:11:58Z,00:11:04,341,4,0.00463792059005628,0.8986187856201905,0.7224261494057247,1.422400712887232,0.0004176644470564495,0.7753539331773056,0.5577621460608131,3.184020279449936,128
5,23,102.03096109891507,TrialState.COMPLETE,2026-05-05T10:11:58Z,00:11:05,339,4,0.005312228877136847,0.9604713042093754,0.7353206241011842,1.2730637030632115,0.0007322844539835283,0.06255910772190437,0.09839976332720157,1.016852425048381,128
5,24,102.44697579979865,TrialState.COMPLETE,2026-05-05T10:11:59Z,00:11:05,480,5,0.009708767732063146,0.8390667446892976,0.7117635742499115,1.478639622075489,0.0004000649647173535,7.809840147156958,1.3914831750074337,2.608486903935572,128
5,25,97.45955990366625,TrialState.COMPLETE,2026-05-05T10:11:59Z,00:11:06,343,6,0.006833186474529822,0.9934988391581532,0.8091214283722336,2.7230499667402746,0.028107891857972734,0.8130876075291434,0.5514826652861662,7.062942933259245,128
